City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,simanggang,1.2472,111.4528,76.98,100,100,0.0,MY,1688064470
112,tofol,5.3248,163.0078,82.49,79,73,17.81,FM,1688064470
113,ust-nera,64.5667,143.2,70.03,62,13,5.99,RU,1688064472
114,penzance,50.1186,-5.5371,63.28,73,99,12.8,GB,1688064472
115,okhotsk,59.3833,143.3,51.85,93,100,4.81,RU,1688064473
116,mamuju,-2.6748,118.8885,78.12,88,100,5.68,ID,1688064473
117,georgetown,5.4112,100.3354,82.33,92,20,3.44,MY,1688064230
118,linhares,-19.3911,-40.0722,78.96,54,0,8.57,BR,1688064474
119,hami,42.8,93.45,82.4,24,100,18.61,CN,1688064475
120,fort st. john,56.2499,-120.8529,69.69,46,75,17.27,CA,1688064188
121,bilibino,68.0546,166.4372,62.31,43,6,4.7,RU,1688064475
122,weston,26.1004,-80.3998,96.01,63,75,5.75,US,1688063920
123,codrington,-38.2667,141.9667,53.35,87,100,14.36,AU,1688064476
124,port alfred,-33.5906,26.891,58.17,72,16,5.01,ZA,1688064476
125,quellon,-43.1167,-73.6167,50.25,87,75,6.91,CL,1688064477
126,rock springs,41.5875,-109.2029,74.23,41,0,8.05,US,1688064181
127,rieti,42.4072,12.8592,76.95,73,40,12.66,IT,1688064478
128,raduzhny,62.0961,77.475,54.63,80,100,10.8,RU,1688064478
129,taltal,-25.4,-70.4833,64.22,71,24,2.93,CL,1688064478
130,zyryanskoye,56.8306,86.6258,52.95,96,97,8.34,RU,1688064479
131,iqaluit,63.7506,-68.5145,47.93,57,75,6.91,CA,1688064479
132,nadym,65.5333,72.5167,43.48,82,12,13.18,RU,1688064480
133,ketchikan,55.3422,-131.6461,57.67,77,100,8.05,US,1688064236
134,grand falls-windsor,48.9332,-55.6649,84.51,56,3,5.01,CA,1688064480
135,hermanus,-34.4187,19.2345,58.8,79,86,20.27,ZA,1688064481
136,raufoss,60.7264,10.6172,65.59,71,100,5.08,NO,1688064481
137,akureyri,65.6835,-18.0878,46.33,93,100,8.05,IS,1688064482
138,debre werk',10.6667,38.1667,61.39,64,29,6.17,ET,1688064482
139,kingston,17.997,-76.7936,90.55,62,40,16.11,JM,1688064395
140,margaret river,-33.95,115.0667,46.0,82,0,7.67,AU,1688064483
141,cabo san lucas,22.8909,-109.9124,96.62,43,40,9.22,MX,1688064483
142,yurimaguas,-5.9,-76.0833,87.96,58,40,4.61,PE,1688064484
143,vilyuchinsk,52.9306,158.4028,52.07,99,100,4.94,RU,1688064484
144,hamilton,39.1834,-84.5333,88.63,59,0,11.5,US,1688064307
145,salinas,36.6777,-121.6555,72.21,66,0,8.05,US,1688064485
146,aoulef,26.9667,1.0833,103.53,5,100,10.02,DZ,1688064486
147,chegdomyn,51.1167,133.0167,59.61,80,100,2.42,RU,1688064486
148,sarupathar,26.1984,93.8094,76.1,95,100,3.44,IN,1688064487
149,naze,28.3667,129.4833,77.92,89,67,14.61,JP,1688064487
150,punta arenas,-53.15,-70.9167,39.22,87,75,9.22,CL,1688064403
151,ribeira brava,32.65,-17.0667,79.72,81,0,4.52,PT,1688064488
152,nikolayevsk-on-amure,53.1406,140.73,51.84,98,32,2.75,RU,1688064489
153,khandyga,62.6667,135.6,63.45,92,26,2.21,RU,1688064489
154,xilin hot,43.9667,116.0333,61.45,44,100,3.51,CN,1688064231
155,lodwar,3.1191,35.5973,87.21,38,49,12.88,KE,1688064490
156,acarau,-2.8856,-40.12,82.83,72,42,17.38,BR,1688064265
157,paraiso,9.8383,-83.8656,81.46,69,71,5.12,CR,1688064490
158,whangarei,-35.7317,174.3239,51.58,73,7,12.33,NZ,1688064491
159,nadi,-17.8,177.4167,62.6,94,20,5.75,FJ,1688064491
160,liaoyuan,42.9036,125.1358,64.33,87,0,3.29,CN,1688064492
161,haiku-pauwela,20.9219,-156.3051,79.25,59,20,14.97,US,1688064492
